artist,artist_mbid,album,album_mbid,track,track_mbid,timestamp,datetime,track_id,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,time_signature,key,loudness,mode
The Clash,,Give 'Em Enough Rope (Remastered),,Cheapskates - Remastered,,1697705170,2023-10-19 10:46:10,5f5nnFLNinW5AD5HUgTS7Z,0.346,0.933,0.0979,0.0632,0.0,0.0738,0.616,159.778,205000,4,0,-5.144,1
The Clash,,Give 'Em Enough Rope (Remastered),,Stay Free - Remastered,,1697704950,2023-10-19 10:42:30,32rUsiLCvd1yZWr4UFUoiu,0.517,0.858,0.0672,0.115,0.000244,0.121,0.669,150.645,220587,4,7,-6.03,1
The Clash,,Give 'Em Enough Rope (Remastered),,Drug-Stabbing Time - Remastered,,1697704950,2023-10-19 10:42:30,3TrpmIKzmn8BNZDMys2n72,0.331,0.967,0.0676,0.035,6.38e-06,0.355,0.631,170.855,223733,4,2,-5.155,1
The Clash,,Give 'Em Enough Rope (Remastered),,Drug-Stabbing Time - Remastered,,1697704726,2023-10-19 10:38:46,3TrpmIKzmn8BNZDMys2n72,0.331,0.967,0.0676,0.035,6.38e-06,0.355,0.631,170.855,223733,4,2,-5.155,1
The Clash,,Give 'Em Enough Rope (Remastered),,Guns On the Roof - Remastered,,1697704531,2023-10-19 10:35:31,0FuigsRUH9SPy5MfhHb3TT,0.582,0.854,0.158,0.0347,7.2e-05,0.201,0.722,145.551,195240,4,9,-5.818,1
The Clash,,Give 'Em Enough Rope (Remastered),,Last Gang in Town - Remastered,,1697704217,2023-10-19 10:30:17,6bKE8NF82z1CVMfu0ZN8bu,0.469,0.971,0.0609,0.0172,0.0,0.0979,0.482,148.692,313360,4,5,-5.908,1
The Clash,,Give 'Em Enough Rope (Remastered),,Julie's Been Working for the Drug Squad - Remastered,,1697704036,2023-10-19 10:27:16,2rUVY6uXm8J0IEr230B1L1,0.491,0.845,0.185,0.0722,0.000127,0.0684,0.831,174.957,183067,4,9,-5.756,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Bleed for Me,66be71cb-8661-45db-8e41-7df6095b6ba6,1697660351,2023-10-18 22:19:11,3AbYQi11L5RDO9QY6EjgOG,0.289,0.962,0.129,0.000194,7.77e-05,0.0946,0.118,102.594,204916,4,9,-5.647,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Riot,87003377-8091-4522-bf99-cf56baafc6c4,1697659993,2023-10-18 22:13:13,1aCf2VZNBccqLAJgzusAdx,0.345,0.96,0.381,0.0133,5.01e-06,0.089,0.074,135.461,357494,4,4,-6.295,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Winnebago Warrior,00b09e3d-4349-4901-9992-34d981107a98,1697659864,2023-10-18 22:11:04,5LcCtjR8QLtoNecXfEt38w,0.463,0.975,0.14,0.000161,0.0,0.0567,0.498,134.129,128615,4,1,-5.614,0
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Halloween,0f856960-5f52-3ca2-b7b6-e65026f6acd9,1697659649,2023-10-18 22:07:29,4QL6epCx6rlUbDG4TF3sj9,0.236,0.964,0.0935,0.00115,1.93e-06,0.125,0.764,185.157,215179,4,0,-4.993,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Forest Fire,91a1c487-3b26-420f-a22f-5a638c35f853,1697659506,2023-10-18 22:05:06,7q3QfGCZGFTsOuDan8QS0Q,0.27,0.978,0.201,0.000162,0.0,0.15,0.419,141.692,142965,4,1,-4.823,0
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Buzzbomb,19612932-2a7b-48ef-8fea-babfb4775677,1697659364,2023-10-18 22:02:44,5TGDbGkn5hWchbPmsEec0H,0.314,0.982,0.112,0.000122,0.0,0.237,0.486,139.931,141804,4,11,-4.756,0
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Well Paid Scientist,04115afc-96dc-4823-90aa-2c9c90bef4e0,1697659223,2023-10-18 22:00:23,2kTFSkDlGLE48WTHJ9BJ3o,0.239,0.938,0.151,0.000511,7.07e-06,0.123,0.351,53.065,142013,4,2,-5.119,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Trust Your Mechanic,873b0b7a-d8ba-456c-a994-ad98b4358aab,1697659046,2023-10-18 21:57:26,2hvR3XzdUoSnoREtyTVnQx,0.276,0.893,0.435,0.000879,0.0,0.212,0.332,180.075,175589,4,10,-6.355,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Terminal Preppie,3c44fccb-8f9c-33f5-96c3-131e411e2aa3,1697658956,2023-10-18 21:55:56,4J4EEk6I0JSfg2b3y1gYwc,0.359,0.988,0.216,0.00527,0.0,0.109,0.543,114.62,90302,4,5,-5.431,0
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Government Flu,0316205b-5509-3941-9c97-6b6dba787044,1697658833,2023-10-18 21:53:53,1PuMbKR2PHJ5jWW5aj1KzX,0.299,0.996,0.166,5.35e-05,0.0,0.402,0.155,140.714,124041,4,2,-4.905,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Advice From Christmas Past,25788613-0bb5-3583-9ab7-88557734689d,1697658777,2023-10-18 21:52:57,3DsZdGFd1FK0ESdya8qcxK,0.19,0.993,0.181,0.201,0.0,0.547,0.102,146.334,55287,5,2,-9.731,1
Dead Kennedys,37c78aeb-d196-42b5-b991-6afb4fc9bc2e,"Plastic Surgery Disasters/In God We Trust, Inc.",18d1c89e-a512-4012-8231-b98f3a72f568,Rawhide,00597f24-6e82-4287-b771-3a474808d452,1697658644,2023-10-18 21:50:44,62f7OynIECvIyrue1E5b8C,0.38,0.913,0.158,0.000221,2.63e-06,0.147,0.361,147.265,133283,4,11,-5.467,0
