artist,track,play_count
David Bowie,Sue (Or in a Season of Crime),62
David Bowie,TVC15 - 2016 Remaster,62
JPEGMAFIA,Baby I'm Bleeding,62
MF DOOM,Rhymes Like Dimes,62
MGMT,Someone's Missing,62
Neutral Milk Hotel,Ghost,62
Neutral Milk Hotel,The Fool,62
Primal Scream,Slip Inside This House,62
Travis Scott,SICKO MODE,62
David Bowie,African Night Flight - 2017 Remaster,61
David Bowie,Blackout - 2017 Remaster,61
David Bowie,Time - 2013 Remastered Version,61
DJ Shadow,The Number Song,61
MF DOOM,Red And Gold,61
Swans,Oxygen,61
The Chemical Brothers,Block Rockin' Beats,61
The Chemical Brothers,Don't Stop the Rock,61
The Chemical Brothers,Get Up On It Like This,61
The Chemical Brothers,Got To Keep On,61
Blondie,One Way or Another - Remastered,60
Brian Eno,Golden Hours - 2004 Digital Remaster,60
Daughters,The Reason They Hate Me,60
David Bowie,Station To Station - 2016 Remastered Version,60
Death Grips,Punk Weight,60
Otoboke Beaver,Bakuro Book,60
Pink Floyd,Money - 2011 Remastered Version,60
Radiohead,Let Down,60
Swans,A Little God In My Hands,60
Talking Heads,Slippery People - 2005 Remaster,60
Brian Eno,I'll Come Running - 2004 Digital Remaster,59
David Bowie,Blackout - 2017 Remastered Version,59
David Bowie,Move On - 2017 Remaster,59
David Bowie,Word On A Wing - 2016 Remastered Version,59
Death Grips,I've Seen Footage,59
Neutral Milk Hotel,[Untitled],59
The Dismemberment Plan,Gyroscope,59
David Bowie,Love Is Lost,58
David Bowie,Sound and Vision - 2017 Remaster,58
David Bowie,The Prettiest Star - 2013 Remastered Version,58
Iggy Pop,China Girl,58
Joy Division,Day of the Lords - 2019 Digital Master,58
Kanye West,Off the Grid,58
Pixies,Monkey Gone to Heaven,58
Primus,Jerry Was a Race Car Driver,58
